"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","SDA","SCL"
70434,1572,1000000,0,1,1,1,1,0,0,0
70439,1577,1000000,0,1,1,1,1,0,0,1
70444,1582,1000000,0,1,1,1,1,0,0,0
70449,1587,1000000,0,1,1,1,1,0,0,1
70454,1592,1000000,0,1,1,1,1,0,0,0
70459,1597,1000000,0,1,1,1,1,0,0,1
70464,1602,1000000,0,1,1,1,1,0,0,0
70469,1607,1000000,0,1,1,1,1,0,0,1
70474,1612,1000000,0,1,1,1,1,0,0,0
70479,1617,1000000,0,1,1,1,1,0,0,1
70484,1622,1000000,0,1,1,1,1,0,0,0
70489,1627,1000000,0,1,1,1,1,0,0,1
70494,1632,1000000,0,1,1,1,1,0,0,0
70499,1637,1000000,0,1,1,1,1,0,0,1
70504,1642,1000000,0,1,1,1,1,0,0,0
70505,1643,1000000,0,1,1,1,1,1,1,0
70509,1647,1000000,0,1,1,1,1,1,1,1
70514,1652,1000000,0,1,1,1,1,0,0,0
70519,1657,1000000,0,1,1,1,1,0,0,1
70524,1662,1000000,0,1,1,1,1,0,0,0
70529,1667,1000000,0,1,1,1,1,0,0,1
70534,1672,1000000,0,1,1,1,1,1,1,1
70630,1768,1000000,0,1,1,1,1,0,0,1
70635,1773,1000000,0,1,1,1,1,0,0,0
70646,1784,1000000,0,1,1,1,1,0,0,1
70650,1788,1000000,0,1,1,1,1,0,0,0
70651,1789,1000000,0,1,1,1,1,1,1,0
70656,1794,1000000,0,1,1,1,1,1,1,1
70660,1798,1000000,0,1,1,1,1,1,1,0
70661,1799,1000000,0,1,1,1,1,0,0,0
70666,1804,1000000,0,1,1,1,1,0,0,1
70670,1808,1000000,0,1,1,1,1,0,0,0
70671,1809,1000000,0,1,1,1,1,1,1,0
70676,1814,1000000,0,1,1,1,1,1,1,1
70680,1818,1000000,0,1,1,1,1,1,1,0
70681,1819,1000000,0,1,1,1,1,0,0,0
70686,1824,1000000,0,1,1,1,1,0,0,1
70690,1828,1000000,0,1,1,1,1,0,0,0
70696,1834,1000000,0,1,1,1,1,0,0,1
70700,1838,1000000,0,1,1,1,1,0,0,0
70701,1839,1000000,0,1,1,1,1,1,1,0
70706,1844,1000000,0,1,1,1,1,1,1,1
70710,1848,1000000,0,1,1,1,1,1,1,0
